ID,TITLE,LINK,ADDRESS,SALARY,EXPERIENCE,LEVEL,LOCATION,JOB_NAME
261,Nhân Viên Vi Tính Co.Opmart Bình Dương,https://timviecnhanh.com/tuyen-nhan-vien-vi-tinh-co-opmart-binh-duong-binh-duong-100167299.html,"131 Điện Biên Phủ, Phường 15, Quận Bình Thạnh",5 - 7 triệu,Dưới 1 năm,Trung cấp,Bình Dương,Công nghệ thông tinSinh viên/Mới tốt nghiệp/Thực tậpKhác
262,Nhân Viên Kỹ Thuật Viễn Thông,https://timviecnhanh.com/tuyen-nhan-vien-ky-thuat-vien-thong-tp-hcm-100172945.html,"21/4D Đông Lân, Xã Bà Điểm, Huyện Hóc Môn, TP.HCM (Cách cầu vượt An Sương 150m)",7 - 10 triệu,Chưa có kinh nghiệm,Cao đẳng,TP.HCMBà Rịa - Vũng TàuBình DươngĐồng Nai,Bưu chính viễn thôngCông nghệ thông tinĐiện/Điện tử/Điện lạnh
263,Nhân Viên Kỹ Thuật Bảo Trì Máy In Làm Việc Củ Chi,https://timviecnhanh.com/tuyen-nhan-vien-ky-thuat-bao-tri-may-in-lam-viec-cu-chi-binh-duong-100166413.html,"46/09 cư xá lữ gia , f15, q11, Thành phố HCM",7 - 10 triệu,Không yêu cầu kinh nghiệm,Trung cấp,Bình DươngĐồng NaiTP.HCM,Công nghệ thông tinĐiện/Điện tử/Điện lạnhCơ khí/Kĩ thuật ứng dụng
264,Nhân Viên Erp - Vũng Tàu,https://timviecnhanh.com/tuyen-nhan-vien-erp-vung-tau-ba-ria-vung-tau-100184417.html,"Số 5, đường số 5, Khu Công nghiệp Sóng Thần 1, phường Dĩ An, thành phố Dĩ An, tỉnh Bình Dương",7 - 10 triệu,1 năm,Đại học,Bà Rịa - Vũng TàuBình Dương,Công nghệ thông tinBưu chính viễn thông
265,"IT Helpdesk / IT Support (Bình Dương,thủ Đức, Long An, Đồng Nai, TPHCM.)",https://timviecnhanh.com/tuyen-it-helpdesk-it-support-binh-duong-thu-duc-long-an-dong-nai-tphcm-binh-duong-100171191.html,"459, Đường Sư Vạn Hạnh, Phường 12, Quận 10, TP.HCM",7 - 15 triệu,1 năm,Trung cấp,Bình DươngTP.HCMLong AnĐồng Nai,Công nghệ thông tinĐiện/Điện tử/Điện lạnhCơ khí/Kĩ thuật ứng dụng
266,Nhân Viên Digital Marketing,https://timviecnhanh.com/tuyen-nhan-vien-digital-marketing-binh-duong-100170112.html,"617-618/5  Thuận An Hòa , Phường An Phú, TP. Thuận An, T. Bình Dương.",10 - 12 triệu,2 năm,Cao đẳng,Bình DươngTP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinMôi trường/Xử lý chất thải
267,Thợ In Thùng Carton (Máy In Flexo) - Bình Dương,https://timviecnhanh.com/tuyen-tho-in-thung-carton-may-in-flexo-binh-duong-binh-duong-100175866.html,"Thửa đất số 1212, tờ bản đồ số 47, Đường Khánh Bình 59, Khu phố Bình Chánh Đông, Phường Khánh Bình, Thị xã Tân Uyên, Tỉnh Bình Dương, Việt Nam",10 - 15 triệu,1 năm,Lao động phổ thông,Bình Dương,Lao động phổ thôngCông nghệ thông tinThiết kế/Mỹ thuật
268,Kỹ Thuật Viên Sctv - Tại Vũng Tàu Và Huyện Châu Đức,https://timviecnhanh.com/tuyen-ky-thuat-vien-sctv-tai-vung-tau-va-huyen-chau-duc-ba-ria-vung-tau-100169507.html,"Số 181 Phạm Hồng Thái, Phường 7, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",9 - 10 triệu,Không yêu cầu kinh nghiệm,Trung cấp,Bà Rịa - Vũng TàuToàn quốc,Điện/Điện tử/Điện lạnhCông nghệ thông tinCơ khí/Kĩ thuật ứng dụng
269,Nhân Viên IT Tại Nhà Máy,https://timviecnhanh.com/tuyen-nhan-vien-it-tai-nha-may-binh-duong-100162018.html,"195 Trương Văn Bang, KP1, P. Thạnh Mỹ Lợi, Quận 2, HCM",7 - 10 triệu,1 năm,Cao đẳng,Bình DươngTP.HCM,Công nghệ thông tinDược/Hóa chất/Sinh hóaThực phẩm/DV ăn uống
270,Nhân Viên Dịch Vụ Khách Hàng,https://timviecnhanh.com/tuyen-nhan-vien-dich-vu-khach-hang-ha-noi-100184040.html,"Số 33 Võ Văn Dũng, P.Ô chợ Dừa, Q.Đống Đa, Hà Nội, và 81CMT8, P bến Thành, Q1, TP HCM",7 - 10 triệu,1 năm,Trung học,Hà NộiTP.HCM,Chăm sóc khách hàngCông nghệ thông tinHành chính/Thư ký/Trợ lý
271,Sales IT Manager,https://timviecnhanh.com/tuyen-sales-it-manager-tp-hcm-100171828.html,"23 Trần Cao Vân , Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",40 - 50 triệu,2 năm,Đại học,TP.HCM,Kinh doanhCông nghệ thông tin
272,".Net Developer (C# Asp.Net Core Web App , Vb.Net)",https://timviecnhanh.com/tuyen-net-developer-c-asp-net-core-web-app-vb-net-tp-hcm-100185909.html,"84 Bạch Đằng, P.02, Q.Tân Bình, Tp. Hồ Chí Minh",8 - 25 triệu,Không yêu cầu kinh nghiệm,Đại học,TP.HCM,Công nghệ thông tinSinh viên/Mới tốt nghiệp/Thực tập
273,Nhân Viên Kinh Doanh Phần Mềm / Thiết Kế Website,https://timviecnhanh.com/tuyen-nhan-vien-kinh-doanh-phan-mem-thiet-ke-website-tp-hcm-100184415.html,Trụ sở: Tầng 6 - Tòa nhà Ladeco - 266 Đội Cấn - Ba Đình - Hà Nội  Chi nhánh: Lầu 3 - Tòa nhà Lữ Gia - Số 70 Lữ Gia - Phường 15 - Quận 11 - TP Hồ Chí Minh,10 - 12 triệu ( + Hoa hồng từ 5% đến 25%),Chưa có kinh nghiệm,Trung cấp,TP.HCMBình DươngGia LaiĐồng NaiBến Tre,Kinh doanhCông nghệ thông tinSinh viên/Mới tốt nghiệp/Thực tập
274,Marketing Excutive,https://timviecnhanh.com/tuyen-marketing-excutive-tp-hcm-100180481.html,"192 Lý Thái Tổ, Phường 1, Quận 3",10 - 12 triệu,2 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRBáo chí/Biên tập viênCông nghệ thông tin
275,Nhân Viên Digital Marketing,https://timviecnhanh.com/tuyen-nhan-vien-digital-marketing-tp-hcm-100176418.html,"70 đường số 10, phường 10, Quận Gò Vấp",15 - 25 triệu,2 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinBáo chí/Biên tập viên
276,Lập Trình PHP,https://timviecnhanh.com/tuyen-lap-trinh-php-tp-hcm-100185663.html,"9/21/26/4 Đường TX 24, Khu phố 7, Phường Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh",12 - 15 triệu,2 năm,Cao đẳng,TP.HCM,Công nghệ thông tinQuảng cáo/Marketing/PR
277,Lập Trình Viên Unity - Thu Nhập Lên Đến 30 Triệu,https://timviecnhanh.com/tuyen-lap-trinh-vien-unity-thu-nhap-len-den-30-trieu-tp-hcm-100175653.html,"Lầu 1 Central Park Office Building, Số 208 Nguyễn Trãi, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh",15 - 30 triệu,1 năm,Cao đẳng,TP.HCM,Công nghệ thông tinBưu chính viễn thôngGiải trí/Vui chơi
278,Nhân Viên Content Marketing- Đi Làm Ngay,https://timviecnhanh.com/tuyen-nhan-vien-content-marketing-di-lam-ngay-tp-hcm-100176963.html,"2/13 Phạm Văn Bạch, Phường 15, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",10 - 12 triệu,Dưới 1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinKinh doanh
279,Nhân Viên Digital Marketing - Đi Làm Ngay,https://timviecnhanh.com/tuyen-nhan-vien-digital-marketing-di-lam-ngay-tp-hcm-100182128.html,"Số 10 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",10 - 15 triệu,1 năm,Đại học,TP.HCM,Quảng cáo/Marketing/PRBáo chí/Biên tập viênCông nghệ thông tin
280,Quản Lý Nhóm Kinh Doanh Showroom - Online - Sàn Thương Mại Điện Tử,https://timviecnhanh.com/tuyen-quan-ly-nhom-kinh-doanh-showroom-online-san-thuong-mai-dien-tu-tp-hcm-100183595.html,"245B Trần Quang Khải, phường Tân Định, quận 1",12 - 15 triệu ( + Hoa hồng từ 5% đến 10%),5 năm,Cao đẳng,TP.HCM,Kinh doanhQuản lý điều hànhCông nghệ thông tin
281,"Nhân Viên Kỹ Thuật Máy Tính, Máy In Không Cần Kinh Nghiệm",https://timviecnhanh.com/tuyen-nhan-vien-ky-thuat-may-tinh-may-in-khong-can-kinh-nghiem-tp-hcm-100180192.html,"2/13 Phạm Văn Bạch, Phường 15, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",7 - 10 triệu,Chưa có kinh nghiệm,Trung cấp,TP.HCM,Công nghệ thông tinSinh viên/Mới tốt nghiệp/Thực tậpTrang thiết bị văn phòng
282,"Nhân Viên Kỹ Thuật Sữa Chữa Máy In, Laptop, Pc",https://timviecnhanh.com/tuyen-nhan-vien-ky-thuat-sua-chua-may-in-laptop-pc-tp-hcm-100183579.html,"245B Trần Quang Khải, phường Tân Định, quận 1",7 - 10 triệu,3 năm,Trung cấp,TP.HCM,Công nghệ thông tinCơ khí/Kĩ thuật ứng dụng
283,Kỹ Thuật Viên Sctv - Đi Làm Ngay Tại Dĩ An Bình Dương - Bình Phước,https://timviecnhanh.com/tuyen-ky-thuat-vien-sctv-di-lam-ngay-tai-di-an-binh-duong-binh-phuoc-tp-hcm-100170152.html,"Số 103 đường Thống Nhất, KP3 P. Bình Thọ Tp Thủ Đức, Tp HCM",8 - 10 triệu,Không yêu cầu kinh nghiệm,Trung cấp,TP.HCMBình DươngBình Phước,Điện/Điện tử/Điện lạnhCông nghệ thông tinCơ khí/Kĩ thuật ứng dụng
284,Nhân Viên Digital Marketing - 6 tháng kinh nghiệm,https://timviecnhanh.com/tuyen-nhan-vien-digital-marketing-6-thang-kinh-nghiem-tp-hcm-100177880.html,1D NGUYỄN DUY - PHƯỜNG 3 - QUẬN BÌNH THẠNH - TP HCM,7 - 10 triệu,Dưới 1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinBưu chính viễn thông
285,Nhân Viên Quản Lý Kênh Thương Mại Điện Tử,https://timviecnhanh.com/tuyen-nhan-vien-quan-ly-kenh-thuong-mai-dien-tu-tp-hcm-100179282.html,"Số 26A Trần Đại Nghĩa, Phường Tân Tạo A, Quận Bình Tân, TP.Hồ Chí Minh",7 - 10 triệu,1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinHành chính/Thư ký/Trợ lý
286,Designer Graphic - Chuyên Viên Thiết Kế,https://timviecnhanh.com/tuyen-designer-graphic-chuyen-vien-thiet-ke-tp-hcm-100185443.html,3E/12 Khu biệt thự Him Lam . Đường Phổ Quang. P2. Q. Tân Bình,14 - 16 triệu,2 năm,Cao đẳng,TP.HCM,Thiết kế/Mỹ thuậtCông nghệ thông tinQuảng cáo/Marketing/PR
287,Nhân Viên Social Marketing,https://timviecnhanh.com/tuyen-nhan-vien-social-marketing-tp-hcm-100184985.html,"246 đồng đen, Phường 10, Tân Bình, Thành phố Hồ Chí Minh",8 - 12 triệu,1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinBáo chí/Biên tập viên
288,Kỹ Sư Phát Triển Phần Mềm - Fullstack developer,https://timviecnhanh.com/tuyen-ky-su-phat-trien-phan-mem-fullstack-developer-tp-hcm-100178084.html,"149 Độc Lập, Phường Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",12 - 20 triệu,Không yêu cầu kinh nghiệm,Không yêu cầu,TP.HCM,Công nghệ thông tinQuảng cáo/Marketing/PRSinh viên/Mới tốt nghiệp/Thực tập
289,Nhân Viên Marketing (Đi Làm Ngay),https://timviecnhanh.com/tuyen-nhan-vien-marketing-di-lam-ngay-tp-hcm-100182689.html,"Tầng 7, tòa nhà VNPT, số 1487 Nguyễn Văn Linh - Phường Tân Phong - Quận 7 - TP Hồ Chí Minh",12 - 17 triệu,1 năm,Đại học,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinHành chính/Thư ký/Trợ lý
290,Nhân Viên Marketing (Đi Làm Ngay),https://timviecnhanh.com/tuyen-nhan-vien-marketing-di-lam-ngay-tp-hcm-100180245.html,"31 Lê Văn Thiêm, Phường Tân Phong, Quận 7, TP HCM",10 - 12 triệu,2 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinKinh doanh
291,Lập Trình Viên Ứng Dụng Di Động,https://timviecnhanh.com/tuyen-lap-trinh-vien-ung-dung-di-dong-tp-hcm-100185661.html,"9/21/26/4 Đường TX 24, Khu phố 7, Phường Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh",10 - 12 triệu,2 năm,Cao đẳng,TP.HCM,Công nghệ thông tinQuảng cáo/Marketing/PRThiết kế/Mỹ thuật
292,Nhân Viên Content Marketing,https://timviecnhanh.com/tuyen-nhan-vien-content-marketing-tp-hcm-100185426.html,"496/1/4B1 Dương Quảng Hàm, phường 6, quận Gò Vấp, TP. Hồ Chí Minh",10 - 15 triệu ( + Hoa hồng từ 5% đến 10%),1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinNgoại ngữ
293,Lập Trình PHP (Cs-Cart) - Lương Trên 20 Triệu,https://timviecnhanh.com/tuyen-lap-trinh-php-cs-cart-luong-tren-20-trieu-tp-hcm-100178203.html,"256 Phạm Văn Hai, Quận Tân Bình",20 - 25 triệu,1 năm,Trung cấp,TP.HCM,Công nghệ thông tinQuảng cáo/Marketing/PRSinh viên/Mới tốt nghiệp/Thực tập
294,Nhân Viên Content (Marketing / Write) - Tại Tân Bình HCM,https://timviecnhanh.com/tuyen-nhan-vien-content-marketing-write-tai-tan-binh-hcm-tp-hcm-100180503.html,"Số 5 Sông Đà, Phường 2, Quận Tân Bình, TP. HCM",10 - 12 triệu,3 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tin
295,Nhân Viên Kinh Doanh (Làm Việc Tại Gò Vấp),https://timviecnhanh.com/tuyen-nhan-vien-kinh-doanh-lam-viec-tai-go-vap-tp-hcm-100133528.html,"1331/3/1E Lê Đức Thọ, P13, Q.Gò vấp,Tp.HCM",7 - 25 triệu,Không yêu cầu kinh nghiệm,Trung cấp,TP.HCM,Kinh doanhChăm sóc khách hàngCông nghệ thông tin
296,Nhân Viên Marketing Executive - Quận 3,https://timviecnhanh.com/tuyen-nhan-vien-marketing-executive-quan-3-tp-hcm-100185785.html,"218/20 Đường Phú Thọ Hòa, Phường Phú Thọ Hoà, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",10 - 12 triệu,Dưới 1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinDệt may
297,Nữ Thiết Kế Đồ Hoạ,https://timviecnhanh.com/tuyen-nu-thiet-ke-do-hoa-tp-hcm-100184595.html,"161 - 163 Trung Mỹ Tây 2A, Phường Trung Mỹ Tây, Quận 12, HCM",10 - 12 triệu,Dưới 1 năm,Không yêu cầu,TP.HCM,Thiết kế/Mỹ thuậtCông nghệ thông tin
298,Marketing Excutive Biết Thiết Kế,https://timviecnhanh.com/tuyen-marketing-excutive-biet-thiet-ke-tp-hcm-100186792.html,"Tầng 14, Tòa Nhà HM Town, 412 Nguyễn Thị Minh Khai, Phường 05, Quận 3, TP Hồ Chí Minh",8 - 10 triệu,1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinThiết kế/Mỹ thuật
299,Nhân Viên Digital Marketing,https://timviecnhanh.com/tuyen-nhan-vien-digital-marketing-tp-hcm-100180462.html,Số 8 đường số 26 - Phường 10 - Quận 6 - TP Hồ Chí Minh.,12 - 15 triệu,2 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinThực phẩm/DV ăn uống
300,Nhân Viên IT - Kỹ Thuật Máy In [Hà Nội - Bắc Ninh],https://timviecnhanh.com/tuyen-nhan-vien-it-ky-thuat-may-in-ha-noi-bac-ninh-bac-ninh-100182577.html,"Thửa đất số 301, Tờ bản đồ số 3, Khu 4, Phường Đại Phúc, Thành phố Bắc Ninh, Tỉnh Bắc Ninh",6 - 10 triệu,Dưới 1 năm,Cao đẳng,Bắc NinhTP.HCMHà Nội,Cơ khí/Kĩ thuật ứng dụngCông nghệ thông tinThẩm định/Giám định/Quản lý chất lượng
301,Chuyên Viên Digital Marketing Thu Nhập 10-15 Triệu (Cơ Hội Thăng Tiến Lên Trưởng Phòng),https://timviecnhanh.com/tuyen-chuyen-vien-digital-marketing-thu-nhap-10-15-trieu-co-hoi-thang-tien-len-truong-phong-tp-hcm-100186165.html,"1G Nguyễn Duy, Phường 3, Quận Bình Thạnh, TP Hồ Chí Minh",10 - 15 triệu,1 năm,Không yêu cầu,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinBáo chí/Biên tập viên
302,Nhân Viên Content Markering,https://timviecnhanh.com/tuyen-nhan-vien-content-markering-tp-hcm-100184988.html,"246 đồng đen, Phường 10, Tân Bình, Thành phố Hồ Chí Minh",6 - 9 triệu,1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinMỹ phẩm/Thời trang/Trang sức
303,Nhân Viên Marketing  Lương Từ 12-15Tr,https://timviecnhanh.com/tuyen-nhan-vien-marketing-luong-tu-12-15tr-tp-hcm-100176618.html,"Tầng 7, Gia Định Tower, 566 Quốc lộ 13, phường Hiệp Bình Phước, quận Thủ Đức, HCM",12 - 15 triệu ( + Hoa hồng từ 1% đến 2%),1 năm,Đại học,TP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinXây dựng
304,"Kỹ Thuật Viên Sửa Chữa Máy Photocopy, Máy In",https://timviecnhanh.com/tuyen-ky-thuat-vien-sua-chua-may-photocopy-may-in-tp-hcm-100182146.html,"1/68 Đường Trục, Phường 13, Quận Bình Thạnh, TPHCM",7 - 20 triệu,Dưới 1 năm,Trung cấp,TP.HCM,Công nghệ thông tinĐiện/Điện tử/Điện lạnhCơ khí/Kĩ thuật ứng dụng
305,Kế Toán Nội Bộ- Đi Làm Ngay,https://timviecnhanh.com/tuyen-ke-toan-noi-bo-di-lam-ngay-tp-hcm-100158470.html,"Showroom HN: 94E-94F Đường Láng , Phường Ngã Tư Sở , Quận Đống Đa, Hà Nội    -----------------    Showroom HCM:  260 Lý Thường Kiệt, Phường 14, Quận 10, Thành phố Hồ Chí Minh",10 - 12 triệu,1 năm,Cao đẳng,TP.HCM,Tài chính/Kế toán/Kiểm toánCông nghệ thông tinNgân hàng/Chứng khoán/Đầu tư
306,Nhân Viên Thiết Kế Đồ Họa,https://timviecnhanh.com/tuyen-nhan-vien-thiet-ke-do-hoa-tp-hcm-100180706.html,"109 Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",10 - 12 triệu,1 năm,Trung cấp,TP.HCM,Thiết kế/Mỹ thuậtCông nghệ thông tin
307,Nhân Viên Kỹ Thuật (Camera & Laptop & Pc & Mực In & Máy In),https://timviecnhanh.com/tuyen-nhan-vien-ky-thuat-camera-laptop-pc-muc-in-may-in-tp-hcm-100182723.html,"1331/3/1E Lê Đức Thọ, P13, Q.Gò vấp,Tp.HCM",7 - 10 triệu,Không yêu cầu kinh nghiệm,Trung cấp,TP.HCM,Công nghệ thông tinSinh viên/Mới tốt nghiệp/Thực tậpTrang thiết bị văn phòng
308,Nhân Viên Thiết Kế In Ấn - Quảng Cáo,https://timviecnhanh.com/tuyen-nhan-vien-thiet-ke-in-an-quang-cao-tp-hcm-100178609.html,"32/88 Phan Sào Nam, P11, Tân Bình, Hồ Chí Minh",10 - 12 triệu,1 năm,Trung cấp,TP.HCM,Công nghệ thông tinQuảng cáo/Marketing/PRThiết kế/Mỹ thuật
309,"Leader / Quản Lý Marketing (Content, Digital) - Làm Việc Tại Thủ Đức - Nhận Việc Ngay",https://timviecnhanh.com/tuyen-leader-quan-ly-marketing-content-digital-lam-viec-tai-thu-duc-nhan-viec-ngay-tp-hcm-100182326.html,"60 Đường 15, Phường Linh Xuân, Tp Thủ Đức, TPHCM",8 - 20 triệu,Dưới 1 năm,Trung cấp,TP.HCM,Quảng cáo/Marketing/PRBáo chí/Biên tập viênCông nghệ thông tin
310,Chuyên Viên Kinh Doanh B2B (Thu Nhập 10-20 Triệu),https://timviecnhanh.com/tuyen-chuyen-vien-kinh-doanh-b2b-thu-nhap-10-20-trieu-tp-hcm-100164735.html,"Số 58 Lê Bình, Phường 4, Quận Tân Bình,TP HCM",10 - 12 triệu,1 năm,Cao đẳng,TP.HCM,Kinh doanhBán hàngCông nghệ thông tin
311,(Quận 7) Marketing Executive,https://timviecnhanh.com/tuyen-quan-7-marketing-executive-tp-hcm-100174138.html,"Tầng 2, Cao ốc văn phòng Petroland Tower, 12 Tân Trào, Phường Tân Phú, Quận 7, Tp. HCM.",10 - 12 triệu,1 năm,Cao đẳng,TP.HCM,Quảng cáo/Marketing/PRNghệ thuật/Điện ảnhCông nghệ thông tin
